State,StateAbb,County1,AppleCounty1,County2,AppleCounty2
Alabama,AL,Jefferson,Jefferson County,Mobile,Mobile County
Alaska,AK,Anchorage,Anchorage Municipality,Matanuska-Susitna,Matanuska-Susitna Borough
Arizona,AZ,Maricopa,Maricopa County,Pima,Pima County
Arkansas,AR,Pulaski,Pulaski County,Benton,Benton County
California,CA,Los Angeles,Los Angeles County,San Diego,San Diego County
Colorado,CO,Denver,Denver County,El Paso,El Paso County
Connecticut,CT,Fairfield,Fairfield County,Hartford,Hartford County
Delaware,DE,New Castle,New Castle County,Sussex,Sussex County
Florida,FL,Miami-Dade,Miami-Dade County,Duval,Duval County
Georgia,GA,Fulton,Fulton County,Gwinnett,Gwinnett County
Hawaii,HI,Honolulu,Honolulu County,Hawaii,Hawaii County
Idaho,ID,Ada,Ada County,Canyon,Canyon County
Illinois,IL,Cook,Cook County,DuPage,DuPage County
Indiana,IN,Marion,Marion County,Lake,Lake County
Iowa,IA,Polk,Polk County,Linn,Linn County
Kansas,KS,Johnson,Johnson County,Sedgwick,Sedgwick County
Kentucky,KY,Jefferson,Jefferson County,Fayette,Fayette County
Louisiana,LA,East Baton Rouge Parish,East Baton Rouge Parish,Jefferson Parish,Jefferson Parish
Maine,ME,Cumberland,Cumberland County,York,York County
Maryland,MD,Montgomery,Montgomery County,Prince George's County,Prince George's County
Massachusetts,MA,Middlesex,Middlesex County,Worcester,Worcester County
Michigan,MI,Wayne,Wayne County,Oakland,Oakland County
Minnesota,MN,Hennepin,Hennepin County,Ramsey,Ramsey County
Mississippi,MS,Hinds,Hinds County,Harrison,Harrison County
Missouri,MO,St. Louis,St. Louis County,Jackson,Jackson County
Montana,MT,Yellowstone,Yellowstone County,Missoula,Missoula County
Nebraska,NE,Douglas,Douglas County,Lancaster,Lancaster County
Nevada,NV,Clark,Clark County,Washoe,Washoe County
New Hampshire,NH,Hillsborough,Hillsborough County,Rockingham,Rockingham County
New Jersey,NJ,Bergen,Bergen County,Middlesex,Middlesex County
New Mexico,NM,Bernalillo,Bernalillo County,Dona Ana,Dona Ana County
New York,NY,Kings,Kings County,Queens,Queens County
North Carolina,NC,Wake,Wake County,Mecklenburg,Mecklenburg County
North Dakota,ND,Cass,Cass County,Burleigh,Burleigh County
Ohio,OH,Franklin,Franklin County,Cuyahoga,Cuyahoga County
Oklahoma,OK,Oklahoma,Oklahoma County,Tulsa,Tulsa County
Oregon,OR,Multnomah,Multnomah County,Washington,Washington County
Pennsylvania,PA,Philadelphia,Philadelphia County,Allegheny,Allegheny County
Rhode Island,RI,Providence,Providence County,Kent,Kent County
South Carolina,SC,Greenville,Greenville County,Richland,Richland County
South Dakota,SD,Minnehaha,Minnehaha County,Pennington,Pennington County
Tennessee,TN,Shelby,Shelby County,Davidson,Davidson County
Texas,TX,Harris,Harris County,Dallas,Dallas County
Utah,UT,Salt Lake,Salt Lake County,Utah,Utah County
Vermont,VT,Chittenden,Chittenden County,Washington,Washington County
Virginia,VA,Fairfax County,Fairfax County,Prince William,Prince William County
Washington,WA,King,King County,Pierce,Pierce County
West Virginia,WV,Kanawha,Kanawha County,Berkeley,Berkeley County
Wisconsin,WI,Milwaukee,Milwaukee County,Dane,Dane County
Wyoming,WY,Laramie,Laramie County,Natrona,Natrona County
