Rank,County,State,PerCapita,MedianHousehold,MedianFamily,Population,NumberOfHouseholds
1,New York County County,New York ,62498,69659,84627,1605272,736192
2,Arlington County,Virginia ,62018,103208,139244,214861,94454
3,Falls Church City County,Virginia ,59088,120000,152857,12731,5020
4,Marin County,California ,56791,90839,117357,254643,102912
5,Alexandria City County,Virginia ,54608,85706,107511,143684,65369
6,Pitkin County,Colorado ,51814,72745,93981,17173,7507
7,Los Alamos County,New Mexico ,51044,106686,124979,17979,7590
8,Fairfax County County,Virginia ,50532,110292,128596,1101071,389908
9,Hunterdon County,New Jersey ,50349,106143,125828,127047,46816
10,Borden County,Texas ,50042,71607,76250,649,225
11,Montgomery County,Maryland ,49038,98221,117408,989474,360563
12,Morris County,New Jersey ,48814,98633,117683,495261,179665
13,Fairfield County,Connecticut ,48721,82283,104250,926233,332655
14,San Francisco County,California ,48486,75604,90116,817501,345344
15,Howard County,Maryland ,48172,109865,128657,293821,106142
16,Westchester County,New York ,47984,81946,105341,956283,343561
17,Somerset County,New Jersey ,47803,99020,117393,326207,115531
18,Nantucket County,Massachusetts ,47331,85478,92500,10224,4069
19,Loudoun County,Virginia ,46565,122238,133550,326477,106997
20,North Slope County,Alaska ,46457,80761,82500,9484,1990
21,San Mateo County,California ,45732,88202,105844,729543,257941
22,Kalawao County,Hawaii ,45515,59375,88750,71,46
23,Washington City County,District of Columbia ,45290,65830,79665,619371,263649
24,Goochland County,Virginia ,45039,80976,92042,21565,8058
25,Norfolk County,Massachusetts ,44692,84916,108943,677296,257451
26,Fairfax City County,Virginia ,44345,97242,113538,23027,8492
27,Douglas County,Colorado ,43634,101591,112930,293014,103780
28,Teton County,Wyoming ,43444,68078,83558,21575,7583
29,Bergen County,New Jersey ,43347,83794,102222,912795,335422
30,Middlesex County,Massachusetts ,42861,82090,104032,1522533,581120
31,Monmouth County,New Jersey ,42749,84526,105971,629735,233909
32,Summit County,Utah ,42462,83336,95879,37232,13627
33,Nassau County,New York ,42400,97690,112874,1343765,441955
34,Mineral County,Colorado ,42255,47083,68438,761,393
35,Chester County,Pennsylvania ,42210,86050,105278,503075,184788
36,Ozaukee County,Wisconsin ,42041,75457,92262,86708,34108
37,Clear Creek County,Colorado ,41716,67259,89583,9048,4024
38,Santa Clara County,California ,41513,91702,103983,1812208,609377
39,Montgomery County,Pennsylvania ,41472,79183,99587,804621,307488
40,Williamson County,Tennessee ,41292,89779,104796,188935,66364
41,San Miguel County,Colorado ,40827,63594,77708,7496,3234
42,Anne Arundel County,Maryland ,40415,87430,101268,544426,199904
43,Putnam County,New York ,40309,95117,109188,99718,34496
44,Newport County,Rhode Island ,40293,71713,88962,82545,34774
45,Delaware County County,Ohio ,40189,89757,103564,178139,64208
46,Middlesex County,Connecticut ,39992,76994,98501,165690,66141
47,King County,Washington ,39911,71811,92510,1974567,802606
48,Fauquier County,Virginia ,39600,88409,103556,66015,23130
49,Hamilton County,Indiana ,39521,82468,99768,282977,103234
50,Eagle County,Colorado ,39497,74456,86167,52151,17966
51,James City County County,Virginia ,39133,76960,90406,68171,26883
52,Bristol County,Rhode Island ,38893,71238,93131,49426,19174
53,Johnson County,Kansas ,38827,74717,92512,552947,216304
54,Clarke County,Virginia ,38748,77597,95654,14191,5580
55,Williams County,North Dakota ,38738,76210,86285,25024,10411
56,DuPage County,Illinois ,38570,78487,95208,922803,336028
57,Poquoson City County,Virginia ,38444,81892,98848,12117,4591
58,Rockingham County,New Hampshire ,38399,77348,93420,296718,116262
59,Calvert County,Maryland ,38260,95477,107684,89332,30923
60,Contra Costa County,California ,38219,78756,94208,1065794,375855
61,Queen Anne's County,Maryland ,38108,87256,97909,48166,17292
62,Gilpin County,Colorado ,38022,63885,87639,5477,2504
63,Talbot County,Maryland ,38022,61597,74811,37859,16013
64,Lake County,Illinois ,38018,77469,92116,702099,241072
65,Boulder County,Colorado ,38011,67956,92667,301072,120521
66,Billings County,North Dakota ,37972,57083,69167,876,350
67,Sussex County,New Jersey ,37949,87335,100066,147924,54746
,County,Connecticut ,37892,69461,87245,3583561,1355849
68,Collin County,Texas ,37839,82762,97421,811308,289752
69,San Juan County,Washington ,37719,53376,65067,15786,7753
70,Litchfield County,Connecticut ,37667,71338,87945,188629,75755
71,Waukesha County,Wisconsin ,37577,75850,92974,391200,153422
72,Juneau County,Alaska ,37558,81490,95112,31897,12099
73,Hennepin County,Minnesota ,37485,64403,84559,1170623,481263
74,Boone County,Indiana ,37482,67255,80907,58009,21908
75,Bucks County,Pennsylvania ,37466,76555,92907,625977,230366
76,Mercer County,New Jersey ,37465,73480,94267,368094,130754
77,Carver County,Minnesota ,37457,83773,96913,92770,33486
78,Broomfield County,Colorado ,37442,77998,96787,57171,22016
79,Prince William County,Virginia ,37401,98071,106544,416668,132442
80,Charles County,Maryland ,37277,93160,104078,148957,51247
81,Albemarle County,Virginia ,37239,67725,89889,100636,37964
82,Skagway County,Alaska ,37139,71667,77500,1080,412
83,Bristol Bay County,Alaska ,37024,79531,96458,933,384
84,Washington County County,Rhode Island ,37023,72138,91532,126627,49430
85,Suffolk County,New York ,36945,87763,100652,1495803,497347
86,Frederick County,Maryland ,36917,84570,98259,236668,86337
87,St. Johns County,Florida ,36836,64876,80707,197115,75558
88,Burlington County,New Jersey ,36835,78446,94324,449964,164979
89,Fulton County,Georgia ,36757,56857,75658,948554,368184
90,Washington County County,Minnesota ,36706,81540,94263,241315,88947
91,Stafford County,Virginia ,36574,97110,106322,131885,42178
92,Rappahannock County,Virginia ,36505,56438,66773,7448,3261
93,Oakland County,Michigan ,36458,65594,84182,1213406,486332
94,Collier County,Florida ,36439,55843,65980,328209,122972
