"","county","state","income","population","households","date","cases_sum","deaths_sum","apple_avg","retail_avg","grocery_avg","parks_avg","transit_avg","work_avg","residential_avg","cases","deaths"
"1","Imperial County","California",41807,175201,48099,"2020-03-03",0,0,130.44,9,-2,12,25,3,-2,0,0
"2","Imperial County","California",41807,175201,48099,"2020-03-04",0,0,154.86,7,-0.5,10,35,-4.5,-0.999999999999998,0,0
"3","Imperial County","California",41807,175201,48099,"2020-03-05",0,0,161.646666666667,8.33333333333333,0,10,44.3333333333333,-3,-1.33333333333333,0,0
"4","Imperial County","California",41807,175201,48099,"2020-03-06",0,0,157.255,9.25,-0.5,6.5,42.25,-2.75,-1.25,0,0
"5","Imperial County","California",41807,175201,48099,"2020-03-07",0,0,148.364,9.2,0,6.2,40,-0.799999999999997,-1.2,0,0
"6","Imperial County","California",41807,175201,48099,"2020-03-08",0,0,142.243333333333,9.66666666666667,0.333333333333334,5.33333333333333,38.5,0,-1.33333333333333,0,0
"7","Imperial County","California",41807,175201,48099,"2020-03-09",0,0,137.892857142857,10,0.428571428571429,4.85714285714286,38.7142857142857,0.285714285714285,-1.42857142857143,0,0
"8","Imperial County","California",41807,175201,48099,"2020-03-10",0,0,137.122857142857,10.2857142857143,0.714285714285714,3.57142857142857,41.4285714285714,0.142857142857146,-1.42857142857143,0,0
"9","Imperial County","California",41807,175201,48099,"2020-03-11",0,0,134.415714285714,10.2857142857143,0.428571428571429,3,41.8571428571429,2.14285714285715,-1.71428571428571,0,0
"10","Imperial County","California",41807,175201,48099,"2020-03-12",0,0,132.135714285714,10,-0.714285714285714,0.142857142857142,43.4285714285714,2.14285714285715,-1.57142857142857,0,0
"11","Imperial County","California",41807,175201,48099,"2020-03-13",0,0,131.067142857143,10.1428571428571,-0.285714285714286,3.42857142857142,50,1.71428571428572,-1.57142857142857,0,0
"12","Imperial County","California",41807,175201,48099,"2020-03-14",0,0,133.47,10.1428571428571,-0.428571428571429,2.57142857142857,48.5714285714286,1.42857142857143,-1.42857142857143,0,0
"13","Imperial County","California",41807,175201,48099,"2020-03-15",0,0,133.527142857143,8.28571428571429,-1.57142857142857,-1.85714285714286,44.2857142857143,0.571428571428569,-0.714285714285714,0,0
"14","Imperial County","California",41807,175201,48099,"2020-03-16",0,0,133.965714285714,7.28571428571429,-1.42857142857143,-4.28571428571428,37,0.428571428571431,-0.285714285714286,0,0
"15","Imperial County","California",41807,175201,48099,"2020-03-17",0,0,134.492857142857,6,-0.285714285714286,-9.57142857142857,27.7142857142857,-0.571428571428569,0.714285714285715,2,0
"16","Imperial County","California",41807,175201,48099,"2020-03-18",0,0,133.331428571429,5.14285714285714,1.42857142857143,-12,18.5714285714286,-1,1.28571428571429,0,0
"17","Imperial County","California",41807,175201,48099,"2020-03-19",0,0,129.215714285714,3.14285714285714,3.28571428571429,-13.5714285714286,5.14285714285715,-1.28571428571428,1.85714285714286,2,0
"18","Imperial County","California",41807,175201,48099,"2020-03-20",0,0,126.945714285714,0.857142857142858,4.28571428571429,-17.7142857142857,-8.42857142857143,-1.28571428571428,2.28571428571429,0,0
"19","Imperial County","California",41807,175201,48099,"2020-03-21",0,0,124.615714285714,-3.5527136788005e-15,6.42857142857143,-20.8571428571429,-13.4285714285714,-3,2.71428571428571,2,0
"20","Imperial County","California",41807,175201,48099,"2020-03-22",2,0,122.074285714286,-1.42857142857143,9,-17.7142857142857,-16.7142857142857,-5.14285714285715,3,0,0
"21","Imperial County","California",41807,175201,48099,"2020-03-23",2,0,117.85,-5,9.42857142857143,-20.8571428571429,-19.5714285714286,-9.14285714285714,4.42857142857143,0,0
"22","Imperial County","California",41807,175201,48099,"2020-03-24",4,0,112.585714285714,-8.71428571428571,8.57142857142857,-21,-20.2857142857143,-12.2857142857143,5.14285714285714,3,0
"23","Imperial County","California",41807,175201,48099,"2020-03-25",4,0,104.784285714286,-13.7142857142857,6.71428571428571,-25.2857142857143,-23.5714285714286,-16.7142857142857,7.14285714285714,0,0
"24","Imperial County","California",41807,175201,48099,"2020-03-26",6,0,97.5371428571429,-19.8571428571429,3.71428571428571,-31,-27.8571428571429,-19.2857142857143,9,8,0
"25","Imperial County","California",41807,175201,48099,"2020-03-27",6,0,89.73,-26.8571428571429,-1,-38.5714285714286,-33.7142857142857,-22.7142857142857,10.8571428571429,4,0
"26","Imperial County","California",41807,175201,48099,"2020-03-28",6,0,82.7957142857143,-33.2857142857143,-6.57142857142857,-43,-38.4285714285714,-26.4285714285714,12.5714285714286,4,0
"27","Imperial County","California",41807,175201,48099,"2020-03-29",7,0,78.9214285714286,-37.7142857142857,-11.8571428571429,-49.2857142857143,-42.7142857142857,-29.5714285714286,14,0,0
"28","Imperial County","California",41807,175201,48099,"2020-03-30",7,0,75.7442857142857,-41.4285714285714,-16.7142857142857,-51.2857142857143,-45.8571428571429,-31.5714285714286,14.8571428571429,8,0
"29","Imperial County","California",41807,175201,48099,"2020-03-31",13,0,72.1857142857143,-44.4285714285714,-20.8571428571429,-53.4285714285714,-49.2857142857143,-33.7142857142857,15.8571428571429,0,0
"30","Imperial County","California",41807,175201,48099,"2020-04-01",17,0,69.74,-46.1428571428571,-24.1428571428571,-54.4285714285714,-51.2857142857143,-35,16.4285714285714,10,0
"31","Imperial County","California",41807,175201,48099,"2020-04-02",19,0,69.6514285714286,-46.4285714285714,-25.8571428571429,-54.5714285714286,-52.8571428571429,-35.8571428571429,16.7142857142857,7,1
"32","Imperial County","California",41807,175201,48099,"2020-04-03",19,0,69.71,-46.5714285714286,-26.7142857142857,-54.8571428571429,-54,-36.2857142857143,16.8571428571429,5,0
"33","Imperial County","California",41807,175201,48099,"2020-04-04",27,0,69.6128571428571,-46.1428571428571,-26.4285714285714,-54.5714285714286,-54.5714285714286,-37,17,0,0
"34","Imperial County","California",41807,175201,48099,"2020-04-05",24,0,69.1957142857143,-46.5714285714286,-26.5714285714286,-54.8571428571429,-55.1428571428571,-38,17.2857142857143,10,1
"35","Imperial County","California",41807,175201,48099,"2020-04-06",34,0,69.1557142857143,-46.4285714285714,-25.7142857142857,-55.4285714285714,-55.5714285714286,-38.2857142857143,17.2857142857143,3,1
"36","Imperial County","California",41807,175201,48099,"2020-04-07",33,1,68.91,-46.5714285714286,-25.4285714285714,-56.8571428571429,-56.8571428571429,-38.5714285714286,17.2857142857143,5,0
"37","Imperial County","California",41807,175201,48099,"2020-04-08",34,1,68.5657142857143,-46.5714285714286,-24.7142857142857,-57.8571428571429,-57.1428571428571,-38.8571428571429,17.2857142857143,2,0
"38","Imperial County","California",41807,175201,48099,"2020-04-09",30,1,67.06,-47.2857142857143,-24.2857142857143,-59.1428571428571,-57.4285714285714,-39.7142857142857,17.4285714285714,4,0
"39","Imperial County","California",41807,175201,48099,"2020-04-10",40,2,65.5128571428571,-47.8571428571429,-24,-60.4285714285714,-57.7142857142857,-40.1428571428571,17.5714285714286,0,0
"40","Imperial County","California",41807,175201,48099,"2020-04-11",35,3,65.2428571428571,-49,-24.2857142857143,-61.1428571428571,-58,-40.5714285714286,17.8571428571429,8,0
"41","Imperial County","California",41807,175201,48099,"2020-04-12",40,3,64.6371428571429,-49.5714285714286,-24.7142857142857,-62.2857142857143,-57.7142857142857,-40.4285714285714,18,0,0
"42","Imperial County","California",41807,175201,48099,"2020-04-13",32,3,63.6985714285714,-50.7142857142857,-26.1428571428571,-64.1428571428571,-58.8571428571429,-41.1428571428571,18.5714285714286,13,0
"43","Imperial County","California",41807,175201,48099,"2020-04-14",29,2,63.7871428571429,-51.5714285714286,-26.5714285714286,-65.2857142857143,-58.7142857142857,-41.5714285714286,19,17,0
"44","Imperial County","California",41807,175201,48099,"2020-04-15",24,2,61.8785714285714,-53.2857142857143,-28.4285714285714,-68.2857142857143,-60.4285714285714,-43.1428571428571,20,0,0
"45","Imperial County","California",41807,175201,48099,"2020-04-16",32,2,61.5242857142857,-54,-29.2857142857143,-69.1428571428571,-61,-43.8571428571429,20.4285714285714,26,0
"46","Imperial County","California",41807,175201,48099,"2020-04-17",22,1,60.8085714285714,-55.5714285714286,-30.4285714285714,-69.8571428571429,-60.8571428571429,-44.1428571428571,20.4285714285714,0,0
"47","Imperial County","California",41807,175201,48099,"2020-04-18",32,0,60.9028571428571,-56.1428571428571,-31.2857142857143,-70.2857142857143,-61.4285714285714,-44.4285714285714,20.5714285714286,12,0
"48","Imperial County","California",41807,175201,48099,"2020-04-19",44,0,61.7114285714286,-56.2857142857143,-31.2857142857143,-70.4285714285714,-61.7142857142857,-44.5714285714286,20.7142857142857,5,0
"49","Imperial County","California",41807,175201,48099,"2020-04-20",42,0,63.2414285714286,-56,-30.4285714285714,-69.5714285714286,-60.2857142857143,-44.1428571428571,20.2857142857143,0,0
"50","Imperial County","California",41807,175201,48099,"2020-04-21",64,0,64.1071428571429,-56,-30.1428571428571,-69.4285714285714,-59.7142857142857,-44.1428571428571,20.1428571428571,35,2
"51","Imperial County","California",41807,175201,48099,"2020-04-22",64,0,67.3328571428571,-55.2857142857143,-29.2857142857143,-68.2857142857143,-58,-42.8571428571429,19.4285714285714,19,1
"52","Imperial County","California",41807,175201,48099,"2020-04-23",68,0,69.85,-55,-28.8571428571429,-68,-57,-42,19,18,2
"53","Imperial County","California",41807,175201,48099,"2020-04-24",73,0,72.5685714285714,-53.7142857142857,-27.8571428571429,-67.4285714285714,-56.7142857142857,-41.2857142857143,18.8571428571429,19,0
"54","Imperial County","California",41807,175201,48099,"2020-04-25",60,0,74.1814285714286,-53.4285714285714,-27.4285714285714,-67.7142857142857,-55.7142857142857,-40.8571428571429,18.5714285714286,0,0
"55","Imperial County","California",41807,175201,48099,"2020-04-26",78,2,74.4771428571429,-53.7142857142857,-27.4285714285714,-68.1428571428571,-55,-40.7142857142857,18.4285714285714,0,0
"56","Imperial County","California",41807,175201,48099,"2020-04-27",97,3,74.8885714285714,-54.1428571428571,-27.5714285714286,-68.7142857142857,-55.1428571428571,-40.7142857142857,18.4285714285714,33,0
"57","Imperial County","California",41807,175201,48099,"2020-04-28",89,5,75.4414285714286,-54.1428571428571,-27.8571428571429,-68.8571428571429,-55,-40.5714285714286,18.2857142857143,20,0
"58","Imperial County","California",41807,175201,48099,"2020-04-29",108,5,75.2571428571429,-54,-27.2857142857143,-68.1428571428571,-55.1428571428571,-40.4285714285714,18.2857142857143,15,0
