"","X","county","state","income","population","households","date","cases_sum","deaths_sum","apple_avg","retail_avg","grocery_avg","parks_avg","transit_avg","work_avg","residential_avg","cases","deaths"
"1",56635,"Imperial County","California",41807,175201,48099,"2020-03-03",0,0,130.44,9,-2,12,25,3,-2,0,0
"2",56636,"Imperial County","California",41807,175201,48099,"2020-03-04",0,0,154.86,7,-0.5,10,35,-4.5,-1,0,0
"3",56637,"Imperial County","California",41807,175201,48099,"2020-03-05",0,0,161.646666666667,8.33333333333333,0,10,44.3333333333333,-3,-1.33333333333333,0,0
"4",56638,"Imperial County","California",41807,175201,48099,"2020-03-06",0,0,157.255,9.25,-0.5,6.5,42.25,-2.75,-1.25,0,0
"5",56639,"Imperial County","California",41807,175201,48099,"2020-03-07",0,0,148.364,9.2,0,6.2,40,-0.799999999999997,-1.2,0,0
"6",56640,"Imperial County","California",41807,175201,48099,"2020-03-08",0,0,142.243333333333,9.66666666666667,0.333333333333332,5.33333333333333,38.5,0,-1.33333333333333,0,0
"7",56641,"Imperial County","California",41807,175201,48099,"2020-03-09",0,0,137.892857142857,10,0.428571428571429,4.85714285714286,38.7142857142857,0.285714285714285,-1.42857142857143,0,0
"8",56642,"Imperial County","California",41807,175201,48099,"2020-03-10",0,0,137.122857142857,10.2857142857143,0.714285714285714,3.57142857142857,41.4285714285714,0.142857142857146,-1.42857142857143,0,0
"9",56643,"Imperial County","California",41807,175201,48099,"2020-03-11",0,0,134.415714285714,10.2857142857143,0.428571428571429,3,41.8571428571429,2.14285714285714,-1.71428571428571,0,0
"10",56644,"Imperial County","California",41807,175201,48099,"2020-03-12",0,0,132.135714285714,10,-0.714285714285714,0.142857142857142,43.4285714285714,2.14285714285714,-1.57142857142857,0,0
"11",56645,"Imperial County","California",41807,175201,48099,"2020-03-13",0,0,131.067142857143,10.1428571428571,-0.285714285714286,3.42857142857143,50,1.71428571428571,-1.57142857142857,0,0
"12",56646,"Imperial County","California",41807,175201,48099,"2020-03-14",0,0,133.47,10.1428571428571,-0.428571428571429,2.57142857142857,48.5714285714286,1.42857142857143,-1.42857142857143,0,0
"13",56647,"Imperial County","California",41807,175201,48099,"2020-03-15",0,0,133.527142857143,8.28571428571429,-1.57142857142857,-1.85714285714286,44.2857142857143,0.571428571428569,-0.714285714285714,0,0
"14",56648,"Imperial County","California",41807,175201,48099,"2020-03-16",0,0,133.965714285714,7.28571428571429,-1.42857142857143,-4.28571428571429,37,0.428571428571431,-0.285714285714286,0,0
"15",56649,"Imperial County","California",41807,175201,48099,"2020-03-17",0,0,134.492857142857,6,-0.285714285714286,-9.57142857142857,27.7142857142857,-0.571428571428569,0.714285714285714,2,0
"16",56650,"Imperial County","California",41807,175201,48099,"2020-03-18",0,0,133.331428571429,5.14285714285714,1.42857142857143,-12,18.5714285714286,-1,1.28571428571429,0,0
"17",56651,"Imperial County","California",41807,175201,48099,"2020-03-19",0,0,129.215714285714,3.14285714285714,3.28571428571429,-13.5714285714286,5.14285714285714,-1.28571428571429,1.85714285714286,2,0
"18",56652,"Imperial County","California",41807,175201,48099,"2020-03-20",0,0,126.945714285714,0.857142857142858,4.28571428571429,-17.7142857142857,-8.42857142857143,-1.28571428571429,2.28571428571429,0,0
"19",56653,"Imperial County","California",41807,175201,48099,"2020-03-21",0,0,124.615714285714,0,6.42857142857143,-20.8571428571429,-13.4285714285714,-3,2.71428571428571,2,0
"20",56654,"Imperial County","California",41807,175201,48099,"2020-03-22",2,0,122.074285714286,-1.42857142857143,9,-17.7142857142857,-16.7142857142857,-5.14285714285714,3,0,0
