"","X1","county","state","income","population","households","date","cases_sum","deaths_sum","apple_avg","retail_avg","grocery_avg","parks_avg","transit_avg","work_avg","residential_avg","cases","deaths"
"1",51388,"Fresno County","California",45563,939605,289811,"2020-03-03",0,0,116.44,10,4,19,10,2,-1,0,0
"2",51389,"Fresno County","California",45563,939605,289811,"2020-03-04",0,0,127.725,10,4.5,18,9.5,2,-1.5,0,0
"3",51390,"Fresno County","California",45563,939605,289811,"2020-03-05",0,0,129.6,11,4.66666666666667,21.6666666666667,9.33333333333333,2,-1.66666666666667,0,0
"4",51391,"Fresno County","California",45563,939605,289811,"2020-03-06",0,0,122.4675,12.5,5,22,8.5,1.5,-1.75,0,0
"5",51392,"Fresno County","California",45563,939605,289811,"2020-03-07",0,0,119.86,13,5.8,22.2,7.8,0.600000000000001,-1.4,0,0
"6",51393,"Fresno County","California",45563,939605,289811,"2020-03-08",0,0,118.773333333333,13.5,7.5,24.3333333333333,7.33333333333333,0.833333333333336,-1.5,1,0
"7",51394,"Fresno County","California",45563,939605,289811,"2020-03-09",0,0,117.552857142857,13.4285714285714,8.14285714285714,24.2857142857143,6.71428571428571,0.857142857142854,-1.42857142857143,0,0
"8",51395,"Fresno County","California",45563,939605,289811,"2020-03-10",0,0,117.762857142857,13.7142857142857,9.14285714285714,24.7142857142857,6,0.714285714285715,-1.42857142857143,0,0
"9",51396,"Fresno County","California",45563,939605,289811,"2020-03-11",0,0,117.44,13.4285714285714,9.42857142857143,25.8571428571429,5.28571428571429,0.714285714285715,-1.42857142857143,0,0
"10",51397,"Fresno County","California",45563,939605,289811,"2020-03-12",0,0,117.058571428571,13.1428571428571,9.71428571428571,24.2857142857143,4.14285714285714,0.714285714285715,-1.28571428571429,0,0
"11",51398,"Fresno County","California",45563,939605,289811,"2020-03-13",1,0,116.238571428571,12.4285714285714,10,25.7142857142857,3.28571428571429,0.714285714285715,-1.14285714285714,0,0
"12",51399,"Fresno County","California",45563,939605,289811,"2020-03-14",1,0,115.665714285714,11.4285714285714,10.1428571428571,25.5714285714286,2.71428571428571,1.42857142857143,-1.28571428571429,1,0
"13",51400,"Fresno County","California",45563,939605,289811,"2020-03-15",1,0,114.752857142857,10,9,20.7142857142857,1.28571428571429,1.28571428571429,-1,0,0
"14",51401,"Fresno County","California",45563,939605,289811,"2020-03-16",1,0,114.555714285714,9.42857142857143,8.85714285714286,19.5714285714286,0.428571428571431,1.14285714285714,-0.857142857142858,0,0
"15",51402,"Fresno County","California",45563,939605,289811,"2020-03-17",1,0,113.208571428571,8.71428571428571,10,18,0,1,-0.714285714285714,0,0
"16",51403,"Fresno County","California",45563,939605,289811,"2020-03-18",1,0,111.06,8.28571428571429,13.4285714285714,15.8571428571429,-1.28571428571429,0.714285714285715,-0.571428571428571,1,0
"17",51404,"Fresno County","California",45563,939605,289811,"2020-03-19",2,0,107.115714285714,6.42857142857143,17.1428571428571,10.8571428571429,-2.57142857142857,0.285714285714285,-0.142857142857142,0,0
"18",51405,"Fresno County","California",45563,939605,289811,"2020-03-20",1,0,104.085714285714,3.71428571428571,18.8571428571429,2.85714285714286,-5.14285714285714,-0.428571428571431,0.428571428571429,3,0
"19",51406,"Fresno County","California",45563,939605,289811,"2020-03-21",1,0,101.255714285714,1.28571428571429,20,-6.14285714285714,-9,-3.71428571428571,1.85714285714286,0,0
"20",51407,"Fresno County","California",45563,939605,289811,"2020-03-22",1,0,98.3042857142857,-1,22.1428571428571,-7.85714285714286,-11,-7.28571428571429,3.14285714285714,0,0
"21",51408,"Fresno County","California",45563,939605,289811,"2020-03-23",2,0,94.8442857142857,-3.71428571428571,25.2857142857143,-11.7142857142857,-13,-11,4.42857142857143,7,0
"22",51409,"Fresno County","California",45563,939605,289811,"2020-03-24",2,0,89.5142857142857,-9.14285714285714,23,-18.8571428571429,-17.8571428571429,-15.8571428571429,6.57142857142857,5,0
"23",51410,"Fresno County","California",45563,939605,289811,"2020-03-25",5,0,83.1914285714286,-14.7142857142857,18.4285714285714,-23,-21.7142857142857,-20.8571428571429,8.85714285714286,1,0
"24",51411,"Fresno County","California",45563,939605,289811,"2020-03-26",4,0,77.0428571428571,-20.5714285714286,12.2857142857143,-27.1428571428571,-26,-24.2857142857143,10.4285714285714,8,0
